cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aCaracterísticasTecnicas1,aCondAderência,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,pAcessóriosPassageiro,pLesõesa30dias
2008,50,50,1,34,1,0,0,1,0,2,0,7,0,1,8,0,0
2008,50,50,0,34,1,0,0,1,0,1,0,6,0,0,7,0,0
1997,50,50,0,24,1,0,0,1,0,1,0,6,0,0,5,0,0
1999,50,50,0,59,1,0,0,1,0,1,0,6,0,0,8,0,0
1987,50,50,0,29,1,0,2,1,0,1,0,6,0,0,8,0,0
1995,50,50,0,24,1,0,0,4,0,4,0,6,0,0,5,0,0
2010,50,50,0,39,1,0,0,1,0,2,2,6,0,0,3,0,0
1992,50,50,1,44,1,0,0,1,0,3,0,6,0,0,8,1,0
2010,50,50,1,39,1,0,0,1,0,3,0,6,0,0,9,0,0
2013,70,70,0,59,1,0,0,9,0,3,2,5,0,1,8,0,0
2004,50,50,0,59,1,0,0,1,0,4,0,6,0,0,7,0,0
2013,60,60,0,20,1,0,0,5,0,2,0,7,0,1,9,0,0
2014,50,50,1,29,1,0,0,1,0,2,0,6,0,0,9,0,0
1994,50,50,0,39,1,0,0,1,0,1,0,6,0,0,8,0,0
2009,50,50,1,34,1,0,0,1,0,2,0,6,0,0,8,0,0
2016,70,90,1,39,1,0,0,4,0,4,2,7,0,1,9,0,0
2007,50,50,0,34,1,0,0,1,0,1,0,6,0,0,8,0,0
2003,50,50,1,49,1,0,0,1,0,1,0,6,0,0,9,1,0
2016,50,50,1,69,1,1,0,1,0,2,2,6,0,0,8,0,0
2002,50,50,0,44,1,0,0,1,0,1,0,6,0,0,7,0,0
2007,90,90,0,44,1,1,0,1,0,3,0,6,0,0,8,0,0
2018,50,50,0,29,1,1,0,1,0,3,0,7,0,1,5,0,0
1996,50,50,0,44,1,0,0,1,0,2,0,6,0,0,7,0,0
2002,50,50,0,44,1,0,0,1,0,1,0,6,0,0,7,0,0
2008,50,50,0,44,1,0,0,4,0,1,0,6,0,0,8,0,0
1996,50,50,0,74,1,0,0,4,0,2,0,6,0,0,11,0,0
2010,50,50,1,20,1,0,2,1,0,1,0,6,0,0,9,1,0
2016,120,120,1,39,1,0,0,0,0,1,1,6,0,0,8,0,0
2005,50,50,1,39,1,0,0,1,0,1,0,6,0,0,5,0,0
2010,120,120,0,44,1,0,0,0,0,2,1,6,0,0,9,0,0
2015,80,80,0,34,1,0,0,1,0,1,2,6,0,0,3,0,0
2017,80,80,0,49,1,0,0,1,0,1,2,6,0,0,3,0,0
2001,90,90,0,29,1,0,0,9,0,4,2,7,0,1,8,1,0
2013,50,50,0,24,1,0,0,1,0,1,0,6,0,0,7,0,0
2011,50,50,0,24,1,0,0,1,0,1,0,7,0,1,12,0,0
2018,50,50,0,29,1,1,0,1,0,2,2,6,0,0,8,0,0
1998,50,50,0,24,1,0,0,1,0,1,0,6,0,0,5,0,0
2001,50,50,0,49,1,0,0,1,0,2,0,6,0,0,9,0,0
